Location,Size (sqft),Bedrooms,Bathrooms,Property Type,Year Built,Condition,Nearby Amenities,Crime Rate,Market Demand Index,Price (USD)
Fresno,4513,1,4,Apartment,1989,New,4,4.18,29.04,1320337
San Jose,3571,2,5,Townhouse,2011,Good,4,1.92,18.25,4282835
Bakersfield,2058,1,5,Villa,1971,Needs Renovation,8,9.91,84.44,2568547
Sacramento,4279,2,5,Condo,1977,Recently Renovated,10,8.54,11.06,225525
Bakersfield,3077,5,1,Villa,2022,Good,3,6.2,80.58,2151249
Long Beach,2303,1,3,Independent House,1957,New,2,2.46,54.44,1225647
San Jose,3408,4,1,Condo,2004,Good,4,7.0,30.08,2768051
Oakland,754,5,4,Condo,1987,Recently Renovated,7,7.37,10.43,3990462
San Diego,923,6,1,Townhouse,2021,Recently Renovated,2,3.02,24.83,3120160
San Diego,2975,1,2,Apartment,1977,Recently Renovated,1,2.07,86.76,4531412
Oakland,776,6,4,Villa,1983,New,4,9.06,36.2,1711915
Long Beach,4157,5,4,Apartment,2000,Needs Renovation,2,5.96,95.47,3888623
San Diego,1752,1,2,Apartment,1994,Recently Renovated,7,1.03,83.52,4888131
San Francisco,4891,6,1,Condo,1953,Good,3,4.43,99.78,1201508
Los Angeles,2019,3,2,Townhouse,1950,Needs Renovation,6,1.87,6.08,2216893
Anaheim,4520,3,3,Independent House,1957,Recently Renovated,3,4.92,6.99,1876098
San Francisco,3032,4,5,Independent House,2021,Recently Renovated,7,4.04,81.34,1538687
Fresno,3305,3,5,Villa,2009,New,6,4.09,79.36,4380456
Sacramento,614,6,4,Independent House,2012,New,7,2.84,32.17,4072374
Long Beach,1153,2,5,Townhouse,2004,Needs Renovation,6,3.73,92.55,4621029
Long Beach,2058,2,5,Independent House,2019,New,8,1.79,91.97,2451950
Sacramento,4572,4,2,Apartment,1976,Recently Renovated,1,1.62,65.23,364482
San Diego,1214,5,3,Condo,1966,New,3,9.27,29.61,166584
San Jose,2727,1,4,Condo,1956,Needs Renovation,6,9.99,65.33,3014648
Sacramento,1897,1,2,Townhouse,1984,New,4,3.64,1.09,2972736
San Jose,537,4,1,Apartment,2017,Recently Renovated,2,8.02,48.07,1297395
San Jose,1901,6,3,Independent House,1969,New,2,9.42,32.74,1587562
San Jose,1263,6,4,Independent House,1974,Good,9,4.13,53.92,3480564
San Diego,2368,6,1,Independent House,1998,New,10,8.88,28.27,3421665
Oakland,2269,3,5,Independent House,2013,New,3,4.83,51.32,676775
Oakland,2033,2,2,Townhouse,1960,Needs Renovation,3,6.28,27.74,4053717
San Francisco,1272,6,4,Condo,1979,Needs Renovation,3,6.91,56.53,579024
Anaheim,3851,4,4,Independent House,2004,Good,7,5.68,63.19,1472828
Oakland,643,5,5,Apartment,1966,Recently Renovated,10,1.11,35.07,2318374
Fresno,947,1,1,Townhouse,2015,Needs Renovation,7,6.85,13.65,2317757
Anaheim,2178,1,2,Apartment,1959,New,10,1.08,40.29,3792424
Bakersfield,4685,4,5,Villa,1982,Recently Renovated,1,8.4,18.04,213036
San Francisco,1229,6,4,Townhouse,2005,Needs Renovation,10,5.51,32.03,3206615
Bakersfield,1337,5,4,Villa,2010,New,7,2.3,46.88,3061491
Long Beach,2614,1,5,Independent House,1986,New,7,5.93,3.98,4451072
Bakersfield,578,5,2,Townhouse,1974,Needs Renovation,4,9.22,10.6,4451967
Oakland,2759,1,3,Townhouse,2004,New,4,1.64,95.22,4605117
Oakland,3940,2,5,Independent House,2013,New,4,2.0,49.99,1343609
San Diego,2539,3,3,Condo,1971,Recently Renovated,6,7.7,52.97,1035995
San Diego,1587,3,1,Villa,1998,Recently Renovated,9,9.56,38.24,1161301
Anaheim,3851,3,4,Independent House,1950,Good,10,8.15,48.62,2083958
Fresno,2117,5,4,Townhouse,1991,Recently Renovated,7,2.95,24.21,1250259
Bakersfield,3326,1,5,Villa,1980,Good,5,2.53,77.72,2828069
Bakersfield,786,1,4,Townhouse,1952,Recently Renovated,10,1.81,40.09,2698943
Anaheim,2413,5,4,Apartment,1968,Good,7,2.7,73.04,1331704
Anaheim,2610,1,5,Independent House,2023,Needs Renovation,1,5.46,96.96,454952
Long Beach,3766,3,5,Condo,1964,Recently Renovated,3,5.59,51.5,4930903
Long Beach,1407,1,4,Villa,1989,New,8,2.87,36.11,1411719
Los Angeles,4875,6,1,Apartment,1977,New,9,9.75,94.61,1854979
Los Angeles,4549,4,5,Condo,1959,Recently Renovated,3,8.75,26.89,3850449
Sacramento,3762,4,3,Apartment,2010,Needs Renovation,9,1.96,91.81,2332834
Anaheim,4330,5,3,Independent House,1950,New,10,7.99,52.55,4155393
Fresno,515,2,3,Condo,2009,Recently Renovated,3,3.75,36.37,2245776
San Francisco,4538,4,2,Independent House,1999,Recently Renovated,3,9.23,61.86,1530891
Anaheim,3546,1,3,Villa,1960,Recently Renovated,9,2.08,81.33,2548147
Sacramento,3552,6,3,Condo,2006,Good,5,9.62,64.71,1325813
Los Angeles,1932,4,1,Villa,1953,Recently Renovated,10,6.51,54.73,613935
Sacramento,1136,3,1,Apartment,1985,Recently Renovated,9,1.96,87.34,4986097
San Francisco,2269,5,3,Independent House,2002,Recently Renovated,4,4.35,44.45,1585953
San Francisco,4952,6,5,Apartment,1959,Recently Renovated,1,5.14,37.25,2586073
Fresno,580,2,1,Condo,2016,New,3,2.09,33.25,1938677
Oakland,1836,2,3,Condo,1977,Good,4,9.24,78.5,3132708
Fresno,1484,4,4,Independent House,1994,Good,6,6.4,48.53,1577276
Bakersfield,1903,1,2,Townhouse,1977,Needs Renovation,3,8.72,14.16,1918928
Sacramento,3347,2,2,Apartment,1998,Good,10,5.51,38.05,1904171
Sacramento,2085,5,3,Townhouse,1956,New,9,4.99,86.66,4628126
Fresno,1440,2,4,Villa,1953,New,7,1.5,36.06,3271650
Oakland,3015,2,2,Apartment,2002,New,5,3.21,83.35,2723492
San Diego,4910,1,2,Condo,1986,Good,4,2.61,3.77,2776392
San Francisco,4106,1,1,Apartment,2012,Recently Renovated,1,6.94,54.71,2957987
Anaheim,1115,6,5,Townhouse,1987,Recently Renovated,1,1.88,96.54,822096
Fresno,4609,4,1,Villa,1980,Good,1,7.63,38.68,700508
Anaheim,3386,5,5,Apartment,2004,Needs Renovation,4,5.02,82.66,707556
Fresno,2594,5,4,Apartment,1978,Needs Renovation,9,1.52,47.71,3294624
Sacramento,3563,4,3,Townhouse,1997,Recently Renovated,10,6.34,57.85,2786647
Long Beach,2077,1,3,Apartment,2005,Good,7,9.72,56.72,3756686
San Diego,2704,2,2,Condo,1996,Recently Renovated,5,1.04,55.99,2836304
Sacramento,512,3,1,Independent House,1952,Recently Renovated,6,2.5,97.81,602846
Anaheim,2117,1,4,Apartment,1952,Recently Renovated,8,5.03,46.78,2610683
Long Beach,2476,5,3,Independent House,2011,Needs Renovation,8,4.99,67.84,1519443
Anaheim,3970,2,4,Apartment,1958,Needs Renovation,5,2.51,34.04,716919
Fresno,586,6,2,Villa,2004,Good,9,4.69,45.53,4976102
Sacramento,1880,2,4,Independent House,2019,Needs Renovation,3,8.94,17.71,1086392
Los Angeles,4625,2,5,Condo,1978,New,3,7.34,12.82,1733434
Sacramento,3059,4,1,Condo,2014,Good,4,5.65,33.94,1265724
San Francisco,3548,3,2,Townhouse,1999,New,1,8.59,2.88,761379
Anaheim,2568,3,5,Villa,1956,New,10,4.06,34.22,2664885
Bakersfield,3869,6,4,Villa,2019,Recently Renovated,2,3.42,79.96,1238500
Fresno,4237,2,3,Apartment,1987,Good,3,5.38,36.31,929979
San Jose,4667,3,1,Apartment,2017,Needs Renovation,2,4.31,68.56,1904999
Los Angeles,2294,1,3,Apartment,2020,Needs Renovation,10,5.51,53.75,4540370
San Francisco,1222,5,3,Villa,1993,Good,10,9.92,57.23,4733849
Long Beach,3195,1,3,Independent House,1977,Needs Renovation,1,5.68,43.8,2370674
Bakersfield,1319,5,3,Villa,2012,Good,9,8.47,35.03,3234564
Oakland,2093,3,2,Apartment,1969,Good,1,4.73,27.09,2986074
Los Angeles,3377,3,1,Apartment,1988,Recently Renovated,3,2.32,48.18,3547142
Oakland,3164,3,1,Villa,1969,Recently Renovated,10,1.63,29.99,2147772
San Jose,1439,2,2,Apartment,1971,New,5,8.61,56.63,691727
Fresno,1170,1,3,Condo,1995,Recently Renovated,3,7.92,47.16,2896467
Sacramento,3726,1,5,Apartment,1963,Recently Renovated,4,6.21,52.45,2639141
Bakersfield,3026,5,2,Villa,2023,Good,1,5.29,49.99,2459593
Los Angeles,4071,2,4,Independent House,1961,Good,4,6.53,82.99,4282971
Fresno,1772,1,4,Townhouse,1953,Needs Renovation,9,7.18,8.01,2951292
Fresno,4322,4,4,Apartment,2005,New,4,5.34,98.91,4274831
Long Beach,2636,5,2,Villa,2000,Good,7,3.75,39.82,1431166
Fresno,532,2,2,Apartment,1991,Good,5,1.16,74.3,4185519
Anaheim,2738,2,3,Independent House,1985,Needs Renovation,10,4.1,15.93,2201442
Bakersfield,953,4,1,Condo,1993,Needs Renovation,2,5.47,60.86,2960983
Oakland,2059,3,2,Villa,2021,Good,5,2.66,62.15,2777592
Anaheim,4134,3,2,Villa,2008,New,2,5.0,33.13,2250887
Sacramento,1183,1,1,Townhouse,2018,New,4,9.73,46.99,2626847
Oakland,1777,3,2,Apartment,2013,Recently Renovated,10,7.02,49.72,3717437
Sacramento,3493,6,1,Villa,2013,Needs Renovation,6,5.9,42.15,2489897
San Jose,2041,2,4,Condo,1962,Good,7,9.72,71.24,3802103
San Jose,4922,5,3,Apartment,1979,Good,5,1.18,52.81,3396003
Fresno,1127,2,5,Condo,1973,Good,9,2.02,60.99,4346518
Los Angeles,4430,4,4,Independent House,1969,Recently Renovated,6,2.09,38.69,4362265
Los Angeles,3229,6,1,Townhouse,1977,Needs Renovation,7,1.47,36.39,1048815
Oakland,2470,4,2,Condo,1959,Recently Renovated,7,1.83,62.8,2218710
San Diego,4749,4,2,Townhouse,1968,Needs Renovation,1,2.61,94.59,4008940
Fresno,2573,5,4,Townhouse,2017,Needs Renovation,10,4.91,57.83,2360877
San Diego,1753,4,1,Villa,1975,Needs Renovation,2,2.24,12.45,196477
Fresno,2352,1,2,Apartment,1987,Good,1,5.88,68.3,1615230
San Diego,713,5,2,Condo,1985,New,9,6.4,30.27,4066449
Long Beach,1506,1,4,Townhouse,2021,Recently Renovated,1,5.09,44.93,4317990
Fresno,2485,3,2,Villa,1965,New,3,5.17,26.6,478253
Anaheim,1640,4,5,Villa,1960,New,8,2.21,59.12,103173
Fresno,678,2,5,Apartment,1972,Needs Renovation,10,8.85,48.95,1060080
Los Angeles,3971,5,2,Townhouse,1998,New,5,4.33,65.24,3431578
San Jose,2685,4,4,Apartment,1970,Recently Renovated,8,9.41,50.29,2618893
Los Angeles,1250,3,1,Condo,1972,Needs Renovation,4,8.14,88.81,3541297
Los Angeles,4999,2,1,Condo,1963,Recently Renovated,1,2.53,15.49,2236717
Long Beach,2994,2,3,Independent House,2006,Needs Renovation,8,2.08,53.94,1562167
Los Angeles,2196,2,2,Villa,1963,Needs Renovation,9,7.59,43.84,834169
San Jose,1539,6,4,Independent House,1995,Needs Renovation,2,4.57,67.7,2119122
San Francisco,753,3,3,Villa,1978,Recently Renovated,8,2.27,77.31,4306959
Oakland,2300,3,4,Apartment,1963,Good,9,2.91,89.2,930497
Bakersfield,4403,1,3,Villa,1968,Recently Renovated,5,7.14,83.02,4126095
Fresno,514,2,4,Independent House,2022,Needs Renovation,8,6.24,35.43,2299845
Oakland,3481,3,2,Independent House,1960,Good,4,3.76,54.52,4753091
San Francisco,535,3,3,Villa,2004,New,3,6.17,55.24,3814935
Los Angeles,2570,4,2,Villa,2015,Needs Renovation,2,3.61,25.6,242405
Sacramento,1949,3,4,Villa,1999,New,1,4.52,76.09,1461819
Long Beach,4093,6,2,Independent House,1981,Needs Renovation,2,8.41,78.66,625808
San Diego,1282,2,2,Independent House,1997,Recently Renovated,2,6.93,60.37,286835
Anaheim,1952,3,1,Condo,1956,New,5,6.13,13.04,3115539
Los Angeles,1961,6,1,Apartment,1978,Needs Renovation,9,3.68,59.35,4712523
Los Angeles,2154,6,5,Condo,1983,Good,9,4.56,35.19,727134
San Diego,1598,5,1,Villa,2007,Needs Renovation,7,2.85,89.91,2691743
San Jose,2142,4,1,Independent House,1970,Needs Renovation,2,7.41,52.17,362198
Oakland,2356,4,3,Villa,2010,Recently Renovated,6,8.31,64.9,3749072
Los Angeles,2933,3,1,Townhouse,1975,Good,7,5.08,62.6,2220552
San Jose,830,5,1,Villa,1951,New,10,1.91,31.33,2389554
San Jose,3547,5,5,Independent House,1966,New,3,8.25,91.4,4945554
San Diego,3320,6,1,Townhouse,2003,New,7,1.92,43.9,4135216
Long Beach,1132,6,1,Independent House,1980,New,7,2.92,72.9,3884920
Fresno,4140,5,3,Townhouse,2023,Needs Renovation,5,1.46,14.08,1952252
Los Angeles,2348,4,4,Independent House,1999,Needs Renovation,8,9.45,16.74,3300493
Sacramento,3115,2,4,Condo,1958,Recently Renovated,4,5.45,42.15,4034212
Sacramento,1565,5,3,Condo,1960,Needs Renovation,4,9.97,62.06,550175
Los Angeles,4885,2,3,Townhouse,1960,New,9,9.44,94.25,3795796
San Diego,1413,1,3,Condo,1952,Recently Renovated,8,5.62,31.67,3969584
Oakland,685,2,4,Independent House,2000,Good,5,9.07,98.41,1737236
Sacramento,3553,3,4,Independent House,1989,New,7,9.18,93.51,1940820
San Jose,1391,2,1,Independent House,2013,Needs Renovation,1,7.0,1.55,1479733
Oakland,4728,4,1,Apartment,1976,New,3,4.75,3.81,1937516
San Diego,2883,2,2,Villa,2001,Good,6,6.92,98.39,1983580
Sacramento,926,2,4,Apartment,1968,Recently Renovated,9,3.75,40.06,3433792
Oakland,865,6,4,Independent House,1992,New,3,8.87,81.37,2189988
San Diego,3911,1,4,Villa,1990,Needs Renovation,6,5.66,28.28,4120643
Long Beach,3084,2,5,Villa,1986,Needs Renovation,3,3.16,38.01,2475781
Oakland,1160,5,4,Condo,1965,Needs Renovation,4,2.09,14.75,944801
Bakersfield,781,1,5,Independent House,1967,Recently Renovated,9,2.87,47.26,1685581
Los Angeles,1802,2,4,Condo,1963,Needs Renovation,6,5.1,11.51,3481821
Bakersfield,528,2,1,Townhouse,2007,Good,8,1.25,68.26,1620528
Sacramento,610,6,3,Independent House,2017,Recently Renovated,4,6.26,41.35,3563612
San Diego,2254,6,5,Independent House,1968,Good,8,8.99,40.32,575560
Los Angeles,3347,1,4,Independent House,2010,Needs Renovation,10,1.5,10.27,580495
Los Angeles,1224,4,2,Apartment,1997,New,4,5.83,92.87,2176921
Oakland,4194,6,5,Independent House,1979,Good,3,2.84,47.49,2268490
Long Beach,3133,4,1,Villa,1961,Good,1,1.33,73.95,2812626
Sacramento,993,5,4,Villa,1983,New,1,4.57,17.46,3479114
Bakersfield,2259,6,5,Independent House,2003,New,9,8.11,83.18,2770506
Anaheim,3466,3,5,Apartment,1999,New,3,1.24,9.8,2807004
San Francisco,2707,6,4,Condo,1981,New,3,1.45,56.81,479755
San Jose,703,4,1,Apartment,1960,Recently Renovated,1,7.15,87.3,4738222
San Francisco,2377,3,3,Villa,1985,Good,10,4.96,84.8,487399
San Diego,3676,5,2,Townhouse,1977,Recently Renovated,9,7.93,16.85,2833318
Long Beach,815,2,2,Townhouse,2004,Good,2,1.45,45.14,347646
Long Beach,1800,2,3,Independent House,2001,Needs Renovation,9,8.68,29.34,1663970
Anaheim,1364,2,5,Condo,1997,Needs Renovation,7,7.83,51.4,2585802
Los Angeles,969,2,5,Townhouse,1972,Needs Renovation,4,1.6,90.48,2168045
Los Angeles,4809,2,5,Apartment,2000,Needs Renovation,4,3.2,3.23,3199315
Fresno,3310,4,3,Townhouse,1961,Good,2,3.09,84.39,1814922
Anaheim,2179,6,2,Apartment,2000,Needs Renovation,7,7.28,70.58,1048018
Anaheim,3059,6,1,Apartment,1967,Recently Renovated,6,7.66,23.38,3373867
San Jose,541,1,5,Condo,2021,Recently Renovated,7,5.16,61.63,2061285
Bakersfield,3432,1,4,Apartment,1953,Recently Renovated,3,5.36,67.07,1677037
Anaheim,3047,4,5,Townhouse,1991,Needs Renovation,3,2.32,37.02,737294
San Diego,4717,6,4,Condo,1958,New,5,7.81,71.78,1226432
Long Beach,761,2,5,Villa,2015,Recently Renovated,1,7.99,91.17,1137993
Los Angeles,1964,1,2,Townhouse,2019,Good,7,2.3,57.46,4189063
Sacramento,3984,3,4,Condo,1984,Needs Renovation,5,2.11,10.84,1488283
Sacramento,2109,2,3,Independent House,1995,New,7,2.6,46.62,4979158
Los Angeles,4630,1,3,Condo,2011,Needs Renovation,4,3.43,75.66,1886588
Long Beach,2270,4,4,Villa,1998,New,7,1.8,8.98,2426374
Fresno,2117,1,2,Townhouse,1967,New,7,1.33,33.25,4860636
San Diego,2062,3,3,Townhouse,2018,Needs Renovation,1,1.57,36.28,3430717
Long Beach,2532,4,2,Villa,1978,Recently Renovated,3,6.43,61.88,2844866
Long Beach,4627,3,1,Apartment,1970,Recently Renovated,6,5.92,28.79,2076078
Oakland,3244,1,5,Townhouse,1967,Recently Renovated,5,5.18,67.77,2430768
Bakersfield,2926,2,5,Apartment,1976,Good,9,4.01,64.39,561909
San Francisco,4044,1,4,Condo,2006,Needs Renovation,2,7.29,99.99,4605904
San Jose,3545,1,5,Condo,1969,New,10,8.85,79.96,3349900
Sacramento,1684,6,2,Townhouse,2022,Good,6,4.0,23.48,807362
Sacramento,4248,2,4,Independent House,1950,Needs Renovation,3,3.34,95.09,1796125
Long Beach,2603,3,5,Condo,2011,Needs Renovation,6,6.63,2.41,308788
Fresno,4822,5,3,Villa,1964,Recently Renovated,6,4.76,63.79,1944227
Oakland,4423,2,4,Independent House,1988,Good,3,4.44,40.83,1704521
Anaheim,2197,3,2,Condo,1960,New,5,3.76,35.64,2082942
San Jose,4355,6,1,Independent House,2004,Needs Renovation,5,2.97,24.74,747780
Oakland,993,6,2,Apartment,1979,New,9,4.88,3.69,532932
San Jose,4383,2,5,Townhouse,1969,Good,1,8.61,51.27,4205343
Fresno,4013,3,2,Townhouse,1976,Good,3,1.48,12.2,781071
San Jose,1332,5,2,Independent House,2012,Recently Renovated,6,2.65,83.15,2861180
Anaheim,1039,5,3,Townhouse,2022,Good,7,6.26,90.74,2193436
Long Beach,1724,5,2,Apartment,1966,New,1,8.86,39.68,3346891
Fresno,4022,3,5,Apartment,1965,Needs Renovation,9,4.71,54.96,1157446
Los Angeles,4654,5,2,Villa,1954,Recently Renovated,1,6.72,69.77,765149
San Francisco,3861,6,2,Apartment,1958,Needs Renovation,6,8.93,1.24,2909090
Anaheim,2667,2,4,Villa,1998,Recently Renovated,6,8.88,71.96,2827919
San Diego,4653,2,4,Townhouse,1964,Needs Renovation,9,6.41,7.67,2081506
Bakersfield,4415,1,5,Condo,1996,New,4,3.19,29.16,4367503
Long Beach,880,5,1,Townhouse,2018,New,6,7.54,9.55,1721465
San Jose,4840,1,2,Independent House,2019,Recently Renovated,8,8.03,21.45,677860
Fresno,696,3,5,Condo,1988,New,5,6.02,23.38,2858240
Sacramento,770,1,4,Villa,1968,Recently Renovated,1,4.67,98.49,614768
San Francisco,2905,5,2,Independent House,2016,New,8,4.59,21.88,2630220
San Diego,2927,3,1,Independent House,1980,Recently Renovated,2,5.99,64.43,3445434
Long Beach,3082,3,1,Villa,1970,Recently Renovated,2,3.65,74.06,2718372
Oakland,811,3,4,Apartment,1999,Recently Renovated,9,9.25,82.88,2930980
Long Beach,722,4,4,Condo,2005,Good,4,7.41,60.18,3317463
San Diego,3883,6,5,Independent House,1994,New,5,2.77,84.77,1604554
Long Beach,1121,2,1,Apartment,1963,Needs Renovation,8,9.65,29.01,730146
Bakersfield,2354,5,5,Condo,1953,Good,8,9.33,61.64,3189882
Oakland,3771,5,3,Condo,1958,Needs Renovation,2,1.36,57.31,580031
San Diego,3777,3,1,Apartment,1967,Needs Renovation,5,4.64,64.08,3862357
Oakland,3511,1,5,Condo,2021,Good,1,3.67,63.98,1424955
Long Beach,3203,4,4,Townhouse,1992,Recently Renovated,8,1.36,9.34,1048781
Anaheim,3106,1,3,Independent House,1978,Needs Renovation,10,2.59,75.36,3567505
Fresno,4108,1,1,Apartment,2021,New,1,8.67,36.88,4077408
San Francisco,4829,6,3,Apartment,2021,Good,8,2.27,30.74,2923064
Long Beach,4970,2,2,Townhouse,1973,Recently Renovated,5,2.82,90.94,3195218
Bakersfield,1581,5,5,Apartment,2018,Needs Renovation,4,7.35,37.07,4384863
San Jose,1104,1,2,Villa,1988,Needs Renovation,4,5.2,99.56,3775529
San Jose,4316,6,2,Townhouse,1971,Good,2,7.63,19.35,2602608
Oakland,3565,3,2,Townhouse,2002,Good,9,6.4,9.13,3242029
Los Angeles,4037,1,5,Apartment,2002,Recently Renovated,3,3.25,83.41,4519614
Bakersfield,1044,4,2,Independent House,1951,Good,7,7.4,95.77,1088515
San Francisco,2029,6,5,Apartment,1958,New,6,7.46,27.09,3510321
Sacramento,2538,3,4,Villa,1976,Recently Renovated,3,4.97,53.78,2248774
Los Angeles,4092,2,1,Independent House,1969,Recently Renovated,6,1.73,97.32,3261220
Anaheim,2841,4,4,Independent House,1957,Good,5,3.94,48.4,4837309
Bakersfield,2185,6,5,Apartment,1966,Good,4,3.18,56.05,3481211
Long Beach,4884,6,3,Independent House,2014,Recently Renovated,8,7.83,11.29,2695545
Anaheim,791,2,2,Townhouse,2004,Needs Renovation,6,8.98,46.24,469619
Oakland,4519,3,1,Condo,2001,New,1,4.07,11.09,513135
Oakland,2859,3,1,Villa,1959,Recently Renovated,3,2.99,85.78,2219631
Bakersfield,4788,2,5,Independent House,1969,Needs Renovation,10,2.05,38.39,631424
San Francisco,1535,2,5,Apartment,1955,New,1,1.28,10.81,1269935
Bakersfield,4462,6,4,Condo,2014,Good,10,8.44,42.12,843950
Bakersfield,4020,5,2,Apartment,1974,Needs Renovation,5,5.39,23.92,232009
Anaheim,803,3,3,Apartment,1977,New,3,8.98,71.91,2417912
Sacramento,3969,1,3,Villa,2011,Good,3,1.4,9.0,4723453
Long Beach,4535,3,2,Townhouse,2008,Needs Renovation,5,5.24,18.3,2813453
Bakersfield,2445,1,5,Villa,2003,Good,3,4.77,75.69,4647267
Bakersfield,4918,1,3,Apartment,1977,New,2,1.84,41.38,4843538
Anaheim,966,1,2,Apartment,1970,New,5,4.6,43.42,1561749
San Jose,2415,3,4,Condo,1998,Good,10,6.25,87.36,1811120
San Diego,2110,2,4,Townhouse,1964,Needs Renovation,6,1.04,11.85,1044398
San Jose,3513,6,2,Townhouse,1952,Recently Renovated,3,2.73,36.57,4324107
Sacramento,571,5,4,Townhouse,1992,Needs Renovation,6,6.25,7.28,3255252
San Jose,2463,5,2,Independent House,1962,Needs Renovation,6,4.09,84.72,1736844
Long Beach,3062,4,2,Apartment,1990,Good,2,1.19,29.28,892763
San Diego,1742,3,3,Villa,1965,Needs Renovation,5,2.0,8.2,627041
Anaheim,654,6,2,Townhouse,1975,Needs Renovation,2,4.1,19.78,2311362
Sacramento,2349,3,3,Condo,1970,New,7,5.77,61.22,3264963
Fresno,2212,4,1,Villa,1961,New,8,1.28,22.2,1623961
Long Beach,2135,6,3,Independent House,1956,Needs Renovation,5,4.87,9.97,2595890
Los Angeles,3745,4,1,Apartment,1960,Recently Renovated,2,7.74,29.52,2113090
San Jose,2589,6,4,Condo,2010,Needs Renovation,10,6.1,65.18,2689678
San Jose,4952,1,4,Condo,2001,Needs Renovation,5,9.68,78.64,329264
Oakland,4198,3,4,Independent House,1964,Recently Renovated,3,3.14,2.6,133275
Oakland,3608,3,1,Condo,1954,Needs Renovation,4,7.69,37.8,3362669
Anaheim,3270,4,4,Condo,2006,New,10,4.12,6.96,979055
Oakland,4377,5,1,Townhouse,1957,Recently Renovated,10,8.25,52.43,2290623
Anaheim,2920,5,4,Independent House,1991,Good,9,7.61,17.61,1850398
Sacramento,2292,4,3,Apartment,1976,New,6,3.7,15.41,385392
Bakersfield,3315,5,1,Independent House,2010,Recently Renovated,9,7.97,39.13,2392288
Fresno,4783,2,1,Villa,1977,Recently Renovated,4,6.1,41.84,3463784
San Jose,544,1,1,Condo,1960,Good,10,5.16,60.3,4406117
Sacramento,1020,2,3,Independent House,1983,Good,5,5.94,77.08,2499409
Anaheim,3011,3,5,Villa,2001,Needs Renovation,10,5.88,6.18,714595
Long Beach,545,3,5,Condo,1985,New,10,4.3,49.76,3274036
Bakersfield,4033,4,3,Independent House,2008,Good,4,6.13,53.53,801292
Sacramento,2572,3,1,Apartment,2009,Needs Renovation,8,9.1,85.03,4785192
San Diego,3442,4,1,Apartment,1967,New,7,7.64,54.31,2089632
San Diego,2911,6,2,Condo,2000,Needs Renovation,10,7.64,7.93,2889289
Los Angeles,3131,2,3,Apartment,2006,Good,5,6.05,42.97,861211
Los Angeles,1946,4,2,Condo,1965,Needs Renovation,6,6.06,73.76,3610434
San Jose,1445,1,2,Townhouse,1993,Recently Renovated,3,8.26,56.77,1878481
Sacramento,1090,4,4,Townhouse,2001,New,6,5.74,70.58,4445544
Long Beach,760,5,2,Townhouse,1977,New,5,5.49,17.64,2100284
Oakland,577,5,3,Independent House,2012,Needs Renovation,3,1.02,94.99,3480470
Anaheim,4303,2,2,Condo,2011,Recently Renovated,5,9.75,46.81,1260183
Fresno,897,1,4,Independent House,1988,Needs Renovation,1,4.14,7.37,2629766
Bakersfield,631,6,2,Independent House,2005,New,9,3.03,16.14,4454913
San Jose,3149,4,2,Independent House,1986,Recently Renovated,10,3.06,76.12,2399960
